商品管理番号,商品名,すべての情報,数量
y001,エリザベスカラー 猫 犬 ソフト ネコ ,"タイプ:通常品
カラー:ピンク",1
y001,エリザベスカラー 猫 犬 ソフト ネコ ,"タイプ:通常品
カラー:ブルー",1
y002,洗える ペットシーツ 犬 トイレマット ,シルバーパープル M,2
y002,,S（サービス品）,0
y008waki_pad,脇汗 パッド メンズ 使い捨て 脇汗パッ,枚数:100枚,1
y012pet_bathmat,犬 シャンプー 滑り止め マット お風呂,"カラー:グレー
サイズ:レギュラー",1
y012pet_bathmat,犬 シャンプー 滑り止め マット お風呂,"カラー:ホワイト
サイズ:レギュラー",1
y012pet_bathmat,犬 シャンプー 滑り止め マット お風呂,"カラー:ホワイト
サイズ:ワイド",1
y015karasu_net,カラスよけ ゴミネット カラスよけネット,サイズ:1.2m×1.2m,2
y016ac_mirror,割れない鏡 貼る鏡 赤ちゃん 鏡 壁に貼,丸角 (20×20cm),2
y016ac_mirror,割れない鏡 貼る鏡 赤ちゃん 鏡 壁に貼,丸角 (30×20cm),10